,user_account,tweet,tweet_clean,label
1,@RifkaaSaja,"Pemerintah melalui omnibus law RUU Cipta Kerja, mempunyai harapan dan target. Salah satunya, mengurangi angka kemiskinan di Indonesia.
#StopHoaxUUciptakerTarget Pemerintah dalam Penerapan UU Cipta Kerja, Salah Satunya Mengurangi Angka Pengangguran
Pemerintah melalui omnibus law RUU Cipta Kerja, mempunyai harapan dan target. Salah satunya, mengurangi angka kemiskinan di Indonesia.
correcto.id",perintah omnibus law rancang undang undang cipta kerja harap target salah satu kurang angka miskin indonesia perintah terap undang undang cipta kerja salah satu kurang angka anggur perintah omnibus law rancang undang undang cipta kerja harap target salah satu kurang angka miskin indonesia koreksi,1
2,@YudhaNWSumirat,"Membalas 
@FerdinandHaean3Bang hubungannya RUU Cipta Kerja dengan para PEA 212 wiro sableng dan lasekar 
@WagimanDeep212
 apaan bang ?",balas hubung rancang undang undang cipta kerja bodoh wiro sableng laskar bang,1
3,@jungsera49,RUU cipta kerja sudah sesuai dengan peraturan perundang-undangan yg ada dan sesuai dengan prosedur #OmnibusLawTaatProsedural,rancang undang undang cipta kerja sesuai atur undang undang sesuai prosedur,1
4,@BennyHarmanID,"Coba terka, ada berapa Bab isi dari RUU Cipta Kerja yang sebelum selesai telah disetujui di Rapat Paripurna? Dan menjadi berapa Bab setelah RUU tersebut diselesaikan setelah disahkan di Rapat Paripurna? Liberte!",coba terka bab isi rancang undang undang cipta kerja selesai tuju rapat paripurna bab rancang undang undang selesai sah rapat paripurna liberte,1
5,@indozonemedia,"Tak hanya polisi anti huru-hara, seekor kucing menggemaskan juga diterjunkan mengamankan demo penolakan RUU Cipta Kerja. #KAMUHARUSTAU #kucing #demo #RUUCiptaKerjaGemas! Kucing Ini Ikut Amankan Demo RUU Cipta Kerja, Netizen Gak Tahan Pengen Elus | Indozone.id
Seekor kucing di Magelang ikut mengamankan demo Omnibus Law RUU Cipta Kerja
indozone.id",polisi anti huru hara ekor kucing gemas terjun aman demo tolak rancang undang undang cipta kerja kucing aman demo rancang undang undang cipta kerja netizen tahan ken elus indozone ekor kucing magelang aman demo omnibus law rancang undang undang cipta kerja indozone,1
6,@ronaldagus84,"Membalas 
@Ompri212
 dan 
@DiniHrdiantiAlah..itu cm akal2an aja cari draft aslinya. Pemerintah dan pihak kpolisian itu ngk bakal asal ngomong hoax klo ngk punya dasar bukti. Gini, klo mmg yg kau posting itu benar isi RUU cipta kerja, dr mana dia tau? Kan ngk ada aslinya kau blg? Siapa yg posting, org pemerintahan kah?",balas cm cari draf asli perintah polisi omong hoax dasar bukti gin kau posting isi rancang undang undang cipta kerja asli kau bilang posting orang perintah,1
7,@destaHERE,"Wew demo ruu cipta kerja terdengar sampe negeri seberang seberang seberang terus seberang
 
Dijawab opo ki aku gaiso jawab karna emang gaiso bahasane",demo rancang undang undang cipta kerja dengar negeri seberang seberang seberang seberang emang bahasa,1
8,@shaajadeh,"Anggota Komisi VI DPR RI ini menyatakan dalam perjalanannya, fraksi PPP juga telah melibatkan buruh dan serikat pekerja untuk mendengarkan masukan dalam pembahasan RUU Cipta Kerja  #OmnibusLawTaatProsedural",anggota komisi vi dewan wakil rakyat rakyat indonesia jalan fraksi ppp libat buruh serikat kerja dengar masuk bahas rancang undang undang cipta kerja,1
9,@demokrasicoid,"Gunakan Diksi ‘Cacat’ untuk Kaum Disabilitas, Draf Rinal RUU Cipta Kerja Banjir KritikanGunakan Diksi 'Cacat' untuk Kaum Disabilitas, Draf Rinal RUU Cipta Kerja Banjir Kritikan
Draf final UU Omnibus Law Cipta Kerja yang sudah disahkan DPR bersama pemerintah beberapa waktu lalu masih simpang siur.
news.demokrasi.co.id",kasih cacat kaum disabilitas draf final rancang undang undang cipta kerja banjir kritik kasih cacat kaum disabilitas draf final rancang undang undang cipta kerja banjir kritik draf final undang undang omnibus law cipta kerja sah dewan wakil rakyat perintah simpang siur news demokrasi,0
10,@Dee_01984,"Setelah sebelum nya banyak Versi yang menyebutkan mengenai jumlah Naskah resmi RUU Cipta Kerja...Pimpinan 
@DPR_RI
 menegaskan bahwa Naskah Resmi RUU Cipta Kerja itu adalah 812 halaman...

#OmnibusLawTransparan",versi naskah resmi rancang undang undang cipta kerja pimpin naskah resmi rancang undang undang cipta kerja halaman,1
