UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
bumbudapur,@Merichaaaaaaaa,2021-05-28T07:23:14.000Z,Emang iya RUU cipta kerja udah di-sah-in ?,,1,,
Hidayat Nur Wahid,@hnurwahid,2021-05-24T00:43:31.000Z,"Mungkin maksud bang 
@RamliRizal
 adalah agar anggota DPR kerjanya tak hanya manut doang. Karena sekelas Rizal Ramli tentunya tahu,di DPR tak semua hanya manut doang, terbukti ada penolakan thd RUU Omnibuslaw Cipta kerja, RUU HIP, impor2(beras, garam dll), tax amnesty jilid 2 dll.Kutip Tweet
Teguh Santosa
@TeguhTimurCom
 · 23 Mei
@RamliRizal : Anggota DPR Hari Ini Kerjanya Manut Doang https://politik.rmol.id/read/2021/05/23/489035/rizal-ramli-anggota-dpr-hari-ini-kerjanya-manut-doang…",,21,23,175
BEM UNAIR,@BEMUNAIR_ID,2021-05-23T14:03:56.000Z,jika kita tarik lebih jauh berhubungan dengan pengesahan RUU Cipta Kerja (Ciptaker). Selain  itu dampak yang  ditimbulkan adanya konflik-konflik tersebut terhadap masyarakat sekitar pertambangan dan perkebunan yang pada akhirnya akan menimbulkan pelanggaran pada hukum dan HAM.,,1,,
Habib Amrullah,@itsmeharu23,2021-05-23T10:19:13.000Z,"Membalas 
@DPDIMMDIYSaking hebatnya, sampai² RUU pro oligarki sampai disahkan. Sebagai contohnya, Revisi UU KPK & RUU Cipta Lapangan Kerja aka Omnibus Law ",🔥,,,1
Kantah Kab. Padang Pariaman,@KabPadPar,2021-05-22T09:25:06.000Z,"#Repost 
@kementerian
.atrbpn (
@get_repost
)
・・・
#SobATRBPN, kemudahan pengurusan lahan akan dibenahi melalui RUU Cipta Kerja, guna meningkatkan iklim investasi yang kemudian akan menciptakan lapangan kerja.
.
#UntukEkonomiIndonesia
#IndonesiaMaju
#RUUCiptaKerja",,,,
Bersihkan_Indo,@bersihkan_indo,2021-05-22T05:49:29.000Z,Upaya pengendalian perubahan iklim masih jauh panggang dari api. Betapa tidak? Greenpeace Indonesia menilai RUU Cipta Kerja akan memperparah krisis iklim. Sejumlah kebijakan dianggap kurang berpihak pada pelestarian hutan maupun jauh dari komitmen mengurangi energi fosil.,,1,,
ΛDHIT ΛNDROID,@Adhit_Android,2021-05-21T10:51:04.000Z,"Membalas 
@kotakmakan
 dan 
@indomidclassMemang harus pake mesin politik semacam lobi2 partai dan sejenisnya. 
Ada juga gerakan masif yang berhasil kayak waktu menolak RUU Permusikan; tapi yg lain2 kayak demo utk RUU Cipta Kerja atw RUU Kekerasan Seksual tetap aja mandeg ya.",,1,,
temennya jendeuki.,@tidakpercuma,2021-05-20T11:45:27.000Z,"Membalas 
@FraksiRakyatIDSama kayak omnimbus law ruu cipta kerja kemarin, buruh yg udh kerja sekitar 20-30 tahun pensiunnya perorang bisa dipotong 20-30juta. Udah jelaslah yg diuntungin dari kebijakan ini siapa. Kira-kira yg paling atas netapin aturan ini dapet berapa T dari ribuan pabrik/perusahaan ya?",,,,
Golkar Indonesia,@golkar_id,2021-05-20T09:21:34.000Z,Menko Airlangga Hartarto Jelaskan Revisi Kelima RUU KUP // Pemerintah memastikan adanya revisi atas Undang Undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan. Ini merupakan kebijakan lanjutan pemerintah untuk sekaligus memperkuat penerapan UU Cipta Kerja.,,,1,1
Himpunan Mahasiswa Ilmu Pemerintahan,@himipfisipunmul,2021-05-18T05:55:05.000Z,"Peringatan hari buruh internasional atau may day kali ini menjadi duka yang mendalam bagi pekerja diseluruh dunia, termasuk Indonesia. Banyaknya PHK massal akibat covid - 19 hingga ancaman dari kebijakan Omnimbus Law RUU Cipta Kerja.

http://Bit.ly/TulipVol11

#HimipBersinarMAY DAY 2021, KABAR BURUH INDONESIA SAAT INI Oleh M. Fadli Akbar (Ilmu Pemerintahan A 2019)
Hari buruh Internasional atau Mayday yang diperingati pada 1 mei, secara historis merupakan kesempatan untuk mengenang perjuangan heroik dari para pekerja dalam mendapatkan hak atas delapan jam ker…
himipfisipunmul.wordpress.com",,,,
