,user_account,tweet,tweet_clean,label
301,@Panigoro7,"Mendirikan usaha jadi lebih mudah

Sblm disahkannya RUU Cipta Kerja, utk mendirikan PT hrs menyetorkan uang krg lbh 50 an jt 

Hal ini dihapuskan sehingga byk UMKM bs jadi PT resmi dgn mdh tanpa birokrasi yg ribet
#KadrunMakarTunggangiOBL",diri usaha mudah sah rancang undang undang cipta kerja diri pt setor uang an juta hapus usaha mikro tengah pt resmi mudah birokrasi ribet,1
302,@LILApama2011,"UU Cipta Kerja transparan. 
Transparansi tersebut, dikatakan Airlangga penting untuk menjawab penolakan dari Fraksi Demokrat dan Fraksi PKS yang menyampaikan bahwa RUU Cipta Kerja belum mendesak.

#OmnibusLawTransparan",undang undang cipta kerja transparan transparansi airlangga tolak fraksi demokrat fraksi pks rancang undang undang cipta kerja desak,1
303,@James_Pardi,"JAKARTA RUSAK AKIBAT DEMO RUU CIPTA KERJA / OMNIBUS LAW CAPAI 100 MILIAR... https://youtu.be/nZJ9HrAt4GI via 
@YouTube
 Innalillahi #LightUpTheSky
 Arab Saudi #RakyatInginJokowiTumbang #kwitang #UMMCampus 14 Oktober #KAMIFPISampahNKRI #BawasluMulaiGalak #momenemas *10JAKARTA RUSAK AKIBAT DEMO RUU CIPTA KERJA / OMNIBUS LAW CAPAI 100...
Demo RUU CIPTA KERJA / OMNIBUS LAW yang terjadi pada Kamis 08 Oktober 2020 menyisakan kerusakan. Kerusakan terpantau dari Patung Kuda Jakarta Pusat sampai Jl...
youtube.com",jakarta rusak akibat demo rancang undang undang cipta kerja omnibus law capai miliar,0
304,@idtodayco,"AHY Heran Draf RUU Cipta Kerja Berubah-ubah: Saling Tuding Sebar HoaksAHY Heran Draf RUU Cipta Kerja Berubah-ubah: Saling Tuding Sebar Hoaks
IDTODAY NEWS - Ketum Demokrat Agus Harimurti Yudhoyono atau AHY menyoroti perubahan jumlah halaman draf UU Cipta Kerja yang terus berubah-ubah sejak masih menjadi RUU. AHY mengatakan seharusnya draf...
news.idtoday.co",heran draf rancang undang undang cipta kerja ubah ubah tuding sebar hoax heran draf rancang undang undang cipta kerja ubah ubah tuding sebar hoax idtoday news tum demokrat agus harimurti yudhoyono sorot ubah halaman draf undang undang cipta kerja ubah ubah rancang undang undang draf news idtoday,0
305,@utha_08,"Nonton mata najwa di youtube tentang RUU Cipta Kerja sumpah ngeri bgt 
 yg blom liat jgn liat rek 
 
Bercanda bos, monggo tonton aja...
Aku habis nonton kepalaku langsung panas, mbuh gara"" ra nutut utekku opo mangkel opo emosi ",tonton mata najwa youtube rancang undang undang cipta kerja sumpah ngeri banget lihat lihat canda bos silah tonton habis tonton kepala langsung panas tau gara otak mangkel emosi,1
306,@andrywaseso,"Yg bilang RUU Cipta Kerja akan menciptakan lapangan kerja.Tweet Kutipan
Dedek Prayudi - Uki || ig: @uki_dedek
@Uki23
 · 13 Okt
Kemaren RUU Cipta Kerja dibilang neo lib.

Hari ini RUU Cipta Kerja dibilang komunis.

Jadi yang bener yang mana?",bilang rancang undang undang cipta kerja cipta lapang kerja tweet kutip adik prayudi uki instagram oktober kemarin rancang undang undang cipta kerja bilang neo lib rancang undang undang cipta kerja bilang komunis,1
307,@GreenpeaceID,"""Gerakan hati yang ngebuat aku turun ke aksi, karena sadar ada suatu hal yang mengganjal dari disahkannya RUU Cipta Kerja ini mulai dari dirancangnya UU tersebut sampai ke isinya"" https://greenpeace.org/indonesia/cerita/44071/dari-jogja-hingga-jakarta-cerita-mahasiswa-yang-menolak-uu-cipta-kerja/… #TolakOmnibusLaw #MosiTidakPercayaDari Jogja hingga Jakarta, Cerita Mahasiswa yang menolak UU Cipta Kerja - Greenpeace Indonesia
Seperti yang diungkapkan, MP, “Gerakan hati yang ngebuat aku turun ke aksi, karna sadar ada suatu hal yang mengganjal dari disahkannya RUU Cipta Kerja ini mulai dari dirancangnya UU tersebut sampai...
greenpeace.org",gera hati turun aksi sadar ganjal sah rancang undang undang cipta kerja rancang undang undang isi,0
308,@GarudaRonald,"Membalas 
@03__nakula
 @EKemarok
  dan 5 lainnyaSemoga setelah kemarin cipta kerja kini saatna giliran RUU BPIP

#SegeraSAHkanUUBPIP",balas moga kemarin cipta kerja gilir rancang undang undang badan bina ideologi pancasila,1
309,@kemenkomarves,"Prosedur Program Legislasi Nasional (Prolegnas) dan pembahasan RUU Cipta Kerja ditaati oleh DPR RI, DPD RI, dan Pemerintah. 

#Timmarves bisa cek tautan http://dpr.go.id/uu/detail/id/4…

#OmnibusLawTaatProsedur 
#CiptaKerja 
#UntukEkonomiIndonesia",prosedur program legislasi nasional program legislatif nasional bahas rancang undang undang cipta kerja taat dewan wakil rakyat rakyat indonesia dewan wakil daerah rakyat indonesia perintah cek taut,1
310,@MalvaSelena,"Dalam pembahasan RUU Cipta Kerja juga melibatkan buruh dan serikat pekerja.
#OmnibusLawTaatProsedural",bahas rancang undang undang cipta kerja libat buruh serikat kerja,1
