,user_account,tweet,tweet_clean,label
101,@prayoga448,Menangkal hoax tentang ruu cipta kerja di medsos,tangkal hoax rancang undang undang cipta kerja media sosial,1
102,@a_doni95,"Membalas 
@FahrihamzahOmnibus law telah disahkan seblumnya oleh DPR, 
Tanpa ada demo dari sekelompok masyarakat  utk menolak ketika masih RUU omnibus law.

UU ciptakerja yg baru bbrp hari disahkan DPR didukung sebagian besar para anggota DPR",balas law sah dewan wakil rakyat demo kelompok masyarakat tolak rancang undang undang omnibus law undang undang cipta kerja sah dewan wakil rakyat dukung anggota dewan wakil rakyat,1
103,@kabargolkarnews,"Firman Soebagyo, Anggota Panja RUU Cipta Kerja menyatakan bahwa UU Cipta Kerja yang pekan lalu disahkan oleh DPR RI, tidak mengalami perubahan

#OmnibusLawPetaniSejahtera 
#OmnibusLawPetaniSejahteraGolkar Menegaskan Jika RUU Cipta Kerja ini Adalah Satu Satunya UU yang dibahas Secara Terbuka
Anggota Fraksi Golkar DPR RI dari daerah pemilihan Jawa tengah III itu meminta publik untuk mempercayai niat baik dari UU Cipta Kerja. Hal itu pula yang membuat yakin UU ini tak akan mengalami...
kabargolkar.com",firman soebagyo anggota panitia kerja rancang undang undang cipta kerja undang undang cipta kerja pekan sah dewan wakil rakyat rakyat indonesia alami ubah golkar rancang undang undang cipta kerja satu undang undang bahas buka anggota fraksi golkar dewan wakil rakyat rakyat indonesia daerah pilih jawa publik percaya niat undang undang cipta kerja undang undang alami,1
104,@reeynii_,"agenda pembahasan RUU Cipta Kerja dapat diketahui di laman resmi DPR RI.
#OmnibusLawTransparan",agenda bahas rancang undang undang cipta kerja laman resmi dewan wakil rakyat rakyat indonesia,1
105,@_GalihM_,"5 Oktober 2020

Rapat Paripurna DPR RI, yang merupakan tingkat II, secara resmi mengesahkan Omnibus Law RUU Cipta Kerja menjadi UU. Ada beberapa hal yang bisa dicatat:",oktober rapat paripurna dewan wakil rakyat rakyat indonesia tingkat resmi kesah omnibus law rancang undang undang cipta kerja undang undang catat,1
106,@Mtuhasan02,"#OBLWujudkanIndonesiaMaju 

Pro dan kontra disetiap peraturan pemerintah ntoh pasti ada.sebut saja RUU Cipta Kerja.mengapa mereka ingin sekali menggagalkan UU ini?mungkin ada sesuatu misal lahan basahnya terancam?ntah lah
.kalo yg kontra dgn RUU ini,lbh cerdas,MK solusi yg tpt.",pro kontra tiap atur perintah ntoh rancang undang undang cipta kerja gagal undang undang lahan basah ancam kontra rancang undang undang cerdas mahkamah konstitusi solusi,1
107,@dieliatin,"Membalas 
@ovo_idWah ini lucu banget Mystery box nya 
Saya sudah Ikutan 
Semoga mimin berkenan mampir ke profil IG saya & baca caption nya yang panjang mirip RUU Cipta Kerja ",balas lucu banget misteri box ikut moga admin kenan mampir profil instagram baca caption rancang undang undang cipta kerja,1
108,@IndonesianPeac,"Dalam RUU Ciptaker pekerja kontrak juga dapat pesangon, ini tercantum pada pasal 61A UU Cipta Kerja

#LawanHoaksOBL",rancang undang undang cipta kerja kerja kontrak sangon cantum pasal undang undang cipta kerja,1
109,@MartinusButarb1,"Sdh terbukti adanya perubahan dlm UU Ciptaker.Seharusnya pemerintah dan rakyat selesaikan masalah ini dg sportif, bhw tdk boleh UU dirubah tanpa sidang anggota DPR. Sportif!
Membandingkan 3 Draf RUU Cipta Kerja: Ada Perbedaan Ketentuan Cuti, Upah, dan PHKMembandingkan 3 Draf RUU Cipta Kerja: Ada Perbedaan Ketentuan Cuti, Upah, dan PHK
Ada tiga draf RUU Cipta Kerja yang beredar di publik. Antara draf yang satu dengan yang lain memiliki perbedaan.
nasional.kompas.com",bukti ubah undang undang cipta kerja perintah rakyat selesai sportif undang undang rubah sidang anggota dewan wakil rakyat sportif banding draf rancang undang undang cipta kerja beda tentu cuti upah phk banding draf rancang undang undang cipta kerja beda tentu cuti upah phk draf rancang undang undang cipta kerja edar publik draf milik beda nasional,1
110,@Rakamk31,"Hikmah yang bisa kita ambil dari RUU omnibus law cipta kerja
Kita bisa tau kalo covid 19 itu biasa aja, dan bisa jadi itu virus emang ga ada.
Karena adanya demo,
Dan gue yakin sampai sekarang juga mereka yang pada demo sehat-sehat aja.

#OmnibusLawBerkah #StopProvokasiDemoCipKer",hikmah ambil rancang undang undang omnibus law cipta kerja covid virus emang demo demo sehat sehat,1
111,@opsiin,"Membandingkan 3 Draf RUU Cipta Kerja: Ada Perbedaan Ketentuan Cuti, Upah, dan PHK – kompasMembandingkan 3 Draf RUU Cipta Kerja: Ada Perbedaan Ketentuan Cuti, Upah, dan PHK – kompas
Membandingkan 3 Draf RUU Cipta Kerja: Ada Perbedaan Ketentuan Cuti, Upah, dan PHK – kompas KOMPAS.COM/JAKA HB JAKARTA, KOMPAS.com – Draf RUU Cipta Kerja yang telah disahkan menjadi unda…
impormasi.wordpress.com",banding draf rancang undang undang cipta kerja beda tentu cuti upah phk kompas banding draf rancang undang undang cipta kerja beda tentu cuti upah phk kompas banding draf rancang undang undang cipta kerja beda tentu cuti upah phk kompas kompas jaka hamengkubuwono jakarta draf rancang undang undang cipta kerja sah unda informasi,1
112,@EkoFirman15,"Dalang perusahaan demo RUU CIPTA KERJA. Ada seorang oknum yang kepingin jadi pemimpin negara. Tetapi apa isi misi visi Nya . sangat jelek negara mau di buat hancurkan. Fakta fakta boleh di beberkan di #DemonstranAtauPerusuhBANG DENNY TERBUKTI HANDAL
BONGKARR KAITAN DP 500 JT ""NETIZEN KAGET""
Salah seorang pegiat media sosial, Denny Siregar mencoba memetakan kekuatan dibalik kerusuhan demo penolakan RUU. Setelah Cikeas berhasil dikuliti akun digee...
youtube.com",dalang usaha demo rancang undang undang cipta kerja oknum kepingin pimpin negara isi misi visi jelek negara hancur fakta fakta kan denny bukti handal bongkar kait uang muka juta netizen kaget salah giat media sosial denny siregar coba meta kuat balik rusuh demo tolak rancang undang undang cikeas hasil kulit akun,1
113,@demokrasicoid,"AHY Heran Draf RUU Cipta Kerja Berubah-ubah: Saling Tuding Sebar Hoaks - Follow 
@demokrasicoidAHY Heran Draf RUU Cipta Kerja Berubah-ubah: Saling Tuding Sebar Hoaks
Ketum Demokrat Agus Harimurti Yudhoyono atau AHY menyoroti perubahan jumlah halaman draf UU Cipta Kerja yang terus berubah-ubah sejak masih menjadi RU
demokrasi.co.id",heran draf rancang undang undang cipta kerja ubah ubah tuding sebar hoax follow heran draf rancang undang undang cipta kerja ubah ubah tuding sebar hoax tum demokrat agus harimurti yudhoyono sorot ubah halaman draf undang undang cipta kerja ubah ubah rancang undang undang demokrasi,1
114,@syah102307,"Membalas 
@motizenchannelMasalah yg ini belum beres
 cepat cepat di ketok palu RUU CIPTAKERJA 
 ada apa ya???kawal terus",balas beres cepat cepat ketok palu rancang undang undang cipta kerja ya kawal,0
115,@sial_fian,"RUU Cipta Kerja dibuat untuk membuka lapangan kerja, nah ini yang mau kerja nya malah dipersulit. Kumaha?Tweet Kutipan
VICE Indonesia
@VICE_ID
 · 14 Okt
Menurut polisi, rekam jejak SKCK bakal menyulitkan pelajar cari kerja. Solusi buat pelajar: jadi caleg partai. Terpidana korupsi aja bisa kok nyaleg

https://vice.com/id/article/jgxy9x/polisi-ancam-pelajar-ikut-demo-omnibus-law-uu-cipta-kerja-bakal-dicatat-di-skck?utm_source=viceidtw…",rancang undang undang cipta kerja buka lapang kerja kerja sulit maha tweet kutip wakil indonesia oktober polisi rekam jejak skck sulit ajar cari kerja solusi ajar caleg partai pidana korupsi caleg,0
116,@AdiSuparto5,"Aku cuman pesen satu aja Coy Batalin Batalin Batalin RUU cipta kerja yg sudah diKetok Palu, bab Proses kurang transparan, dimentahin aja nanti dibahas ulang ama uji Publik.Tweet Kutipan
FADLI ZON (IG: fadlizon)
@fadlizon
 · 15 Okt
Siang ini hadir sbg narasumber Webinar @DPR_RI dan @BAKTIKominfo dgn tema E-Learning: Pemanfaatan Digitalisasi di Masa Pandemi Covid-19.",cuman sen saudara batal batal batal rancang undang undang cipta kerja ketok palu bab proses transparan mentah bahas ulang uji publik tweet kutip fadli zon instagram fadlizon oktober siang hadir narasumber webinar tema e learning manfaat digitalisasi pandemi covid,0
117,@anivalenn,"Tuh kan, angota komisi VI DPR RI fraksi PPP telah melibatkan buruh dan serikat pekerja untuk mendengarkan masukan dalam pembahasan RUU Cipta Kerja 

#OmnibusLawTaatProsedural",anggota komisi vi dewan wakil rakyat rakyat indonesia fraksi ppp libat buruh serikat kerja dengar masuk bahas rancang undang undang cipta kerja,1
118,@demokratkebumen,"Sahabat Demokrat, sejak 9 Oktober 2020, Fraksi Partai Demokrat surati Ketua DPR RI meminta dokumen final RUU Cipta Kerja. Namun, belum di berikan hingga saat ini (13/10).",sahabat demokrat oktober fraksi partai demokrat surat ketua dewan wakil rakyat rakyat indonesia dokumen final rancang undang undang cipta kerja,0
119,@Demokrat_TV,"Tirani Mayoritas Politik dan RUU Cipta Kerja
Oleh: Azyumardi Azra
Di Harian Kompas, Hari Ini

#ruuciptakerja",tirani mayoritas politik rancang undang undang cipta kerja azyumardi azra hari kompas,1
120,@radarbangsa_com,"RUU Cipta Kerja Tidak Ompong Menaker Ida Ketentuan Sanksi Diadopsi dari UU LamaRUU Cipta Kerja Tidak Ompong, Menaker Ida: Ketentuan Sanksi Diadopsi dari UU Lama
Menteri ketenagakerjaan, Ida Fauziyah, terus menyosialisasikan RUU Cipta Kerja, khususnya klaster ketenagakerjaan bagi seluruh stakeholder terkait.
radarbangsa.com",rancang undang undang cipta kerja ompong menteri ketenagakerjaan ida tentu sanksi adopsi undang undang rancang undang undang cipta kerja ompong menteri ketenagakerjaan ida tentu sanksi adopsi undang undang menteri ketenagakerjaan ida fauziyah sosialisasi rancang undang undang cipta kerja kluster ketenagakerjaan stakeholder kait,1
121,@Wahyde250,"Sbnernya ini UU cipta kerja hoax apa gmna? Bnyk yg bersliweran aja katanya hoax gak gini lho, gak gt lho..
Lah draft finalnya aja blm ada, ini msh revisi sana sini
Ini justru yg bkin masyarakat semakin gak percaya
Seharusnya RUU ini dibatalkan saja sudah gak jelas jg ujung2nya",undang undang cipta kerja hoax seliwer hoax gin draf final revisi bkin masyarakat percaya rancang undang undang batal,0
122,@Joni14468736,"Organisasi buruh lawan hoax Omnibus Law RUU Cipta Kerja

Awas Korona #KadrunMakarTunggangiOBL

https://change.org/p/organisasi-buruh-lawanhoaxomnibuslaw-ruu-cipta-kerja…",organisasi buruh lawan hoax omnibus law rancang undang undang cipta kerja awas corona,1
123,@dearizk78322612,"RUU cipta kerja menguntungkan para buruh, jangan sebar berita hoax ga jelas 
#StopHoaxUUCiptaker",rancang undang undang cipta kerja untung buruh sebar berita hoax,1
124,@fatmathera,"[PERNYATAAN SIKAP PPI MALAYSIA]
Salam sejahtera! Salam Perhimpunan!
 
Berikut adalah isi dari Pernyataan Sikap PPI Malaysia terhadap Omnibus Law RUU Cipta Kerja. 

#OmnibusLaw #RUUCiptaker #RUUOmnibusLaw #PPIMalaysia 
⁣⁣",nyata sikap ppi malaysia salam sejahtera salam himpun isi nyata sikap ppi malaysia omnibus law rancang undang undang cipta kerja,1
125,@OmangRodriguez,"Aliansi Nasional Anti Komunis
Hari ini demo tolak Omnibus Law
RUU Cipta Kerja

Padahal Ciptaker itu jelas jelas sangat Anti Komunis",aliansi nasional anti komunis demo tolak omnibus law rancang undang undang cipta kerja cipta kerja anti komunis,1
126,@wartakotalive,"Ini Alasan Ada Anggota DPR Tak Dapat Naskah RUU Cipta Kerja Saat Rapat Paripurna PengesahanIni Alasan Ada Anggota DPR Tak Dapat Naskah RUU Cipta Kerja Saat Rapat Paripurna Pengesahan - Warta...
Sebelumnya, sejumlah anggota dewan protes lantaran tidak mendapatkan naskah asli UU Cipta Kerja.
wartakota.tribunnews.com",alas anggota dewan wakil rakyat naskah rancang undang undang cipta kerja rapat paripurna pengesahaan alas anggota dewan wakil rakyat naskah rancang undang undang cipta kerja rapat paripurna kesah warta anggota dewan protes lantar naskah asli undang undang cipta kerja warta kota,1
127,@AnalLadu,"@karniilyas
 tumben, Datuk Karni belum rilis tema ILC Minggu ini , biasanya setiap senin sore, .....sy tahu ni msh galau , untuk angjat RUU cipta kerja  khan
..hehehe",tumben datuk karni rilis tema indonesia lawyers club minggu senin sore galau rancang undang undang cipta kerja khan,1
128,@sapereaudie,"Jangan cari panggung dengan cara cuman ikut2an menolak ruu cipta kerja lah 
@FPKSDPRRI
. 

Kalau benar-benar mau memihak rakyat, ini ada persoalan yang lebih serius. Nafsu kekuasaan disingkirkan dulu, bisa?",cari panggung cuman tolak rancang undang undang cipta kerja rakyat serius nafsu kuasa singkir,1
129,@SaSontoloyo,"Membalas 
@OposisiCerdasPada hakikatnya RUU Cipta Kerja ditujukan untuk Menyederhanakan Hambatan Regulasi di Indonesia dan hanya memetik pasal2 tertentu yang menjadi concern yang selama ini dianggap bermasalah dan menambahkan yang perlu ada",balas hakikat rancang undang undang cipta kerja sederhana hambat regulasi indonesia petik perhati anggap masalah,1
130,@oreoregalll,"Membalas 
@collegemenfessAku lagi butuh banyak responden, adakah yang bersedia mengisi? Tentang Kontraversi RUU Cipta Kerja, terimakasih ya.
http://forms.gle/bKQx8sggGK7P67Jp7…",balas butuh responden ada sedia isi kontraversi rancang undang undang cipta kerja terima kasih ya,1
