i;xyz
i;xyz
hi;xyz
id;xyz
bah;xyz
ciptakerja;cipta kerja
respect;kehormatan
down;jatuh
pdhl;padahal
bbrp;beberapa
sampe;sampai
slalu;selalu
sll;selalu
sllu;selalu
tetep;tetap
dengar;denger
knapa;kenapa
gaes;teman
guys;teman
kalo;kalau
tik;xyz
tok;xyz
kah;xyz
com;xyz
cilaka;celaka
uucipker;undang undang cipta kerja
krpiperppubatalkanuucipker;undang undang cipta kerja
jpnn;xyz
wkwk;xyz
hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha;xyz
hah;xyz
haha;xyz
hahaa;xyz
hahah;xyz
hahaha;xyz
hahahah;xyz
hahahaha;xyz
hahahahaahhaah;xyz
hahahahaha;xyz
hahahahahabaleg;xyz
hahahatweet;xyz
hahahha;xyz
hahatweet;xyz
hahayyy;xyz
wk;xyz
wkkwk;xyz
wksksk;xyz
wkpolitikus;politikus
wksksk;xyz
wkt;waktu
wkw;xyz
wkwkk;xyz
wkwkk;xyz
wkwkkw;xyz
wkwktweet;xyz
wkwktweet;xyz
wkwktweet;xyz
wkwkwkwk;xyz
wkwkwkwkwk;xyz
wkwkwkwkwk;xyz
wkwkwkwkwkwkwkwk;xyz
wkwwk;xyz
