,user_account,tweet,tweet_clean,label
901,@gausahnanya5,setuju RUU cipta kerja kalau tak pandang bulu.,tuju rancang undang undang cipta kerja pandang bulu,1
902,@Polres_batola,"AKBP Lalu Moh. Syahir Arif, S.I.K, M.M Pimpin Apel Siaga Polres Batola dalam rangka Antisipasi Unras Penolakan RUU Cipta Kerja dengan Instansi Terkait.",akbp moh syahir arif s k m m pimpin apel siaga polres rangka antisipasi unras tolak rancang undang undang cipta kerja instansi kait,1
903,@LAPASTABANAN,"9. Surat tersebut ditindaklanjuti Menko 
@PerekonomianRI
 bersama menteri terkait dengan menyampaikan surat presiden, naskah RUU Cipta Kerja, serta naskah akademik yg menyertainya kpd Ketua dan Wakil Ketua 
@DPR_RI
 tanggal 12Februari2020

#KumhamPasti
#OmnibusLawTaatProsedural",surat tindak menteri koordinator menteri kait surat presiden naskah rancang undang undang cipta kerja naskah akademik serta ketua wakil ketua tanggal,1
904,@zaharannnn,Sekarang aku jd mendukung RUU cipta kerja hihi,dukung rancang undang undang cipta kerja,1
905,@MataNajwa,"Grafis di atas menunjukkan pengubahan naskah RUU Cipta Kerja tidak hanya bersifat teknis sebagaimana diatur dalam UU No.12/2011 tentang Pembentukan Peraturan Perundang-Undangan dan perubahannya pada UU No.15/2019⁣.

#MataNajwaCiptaKerjaManaFaktaManaDusta",grafis ubah naskah rancang undang undang cipta kerja sifat teknis atur undang undang bentuk atur undang undang ubah undang undang,1
906,@Lukmanharijant4,"Membalas 
@DiantyYasmin3Gabener jkt58 gimana sikapnya terhadap RUU Cipta Kerja ko belum denger ",balas sikap rancang undang undang cipta kerja dengar,1
907,@daysuser,"siapa tau teman2 ada yang butuh file ttg RUU Cilaka

http://dpr.go.id/uu/detail/id/442…

Jika Ingin Membaca Semua Rincian *UU Omnibus Law* Silakan ke Laman di Bawah ini:
*1. RUU Cipta Kerja (Baleg DPR PDF)*
http://dpr.go.id/dokakd/dokumen/BALEG-RJ-20200605-100224-2372.pdf…
#OmnibusLaw
#MahasiswaMelawan #AwasJadiKorbanHoaxOmnibus",butuh file rancang undang undang celaka,0
908,@MasukSilahkan,"mantan menteri Pendidikan dan Kebudayaan itu mengatakan RUU Cipta Kerja merupakan revolusi mental dalam bentuk produk hukum. #OmnibusLawUntungkanBuruhRUU Cipta Kerja Bantu Masyarakat Mencari Pekerjaan
Pemerintah mengatakan hadirnya RUU Cipta Kerja yang telah disahkan menjadi Undang-Undang membantu masyarakat mencari pekerjaan.
correcto.id",mantan menteri didik budaya rancang undang undang cipta kerja revolusi mental bentuk produk hukum cipta kerja bantu masyarakat cari kerja perintah hadir rancang undang undang cipta kerja sah undang undang bantu masyarakat cari kerja koreksi,1
909,@wa_puspa,"""RUU Cipta Kerja Klaster Ketenagakerjaan. Mari kita simak #UUCiptaKerja pada poin-poin tertentu. Semoga bermanfaat,"" tulis @jubir_presidenri dalam keterangan videonya. #OmnibusLawUntungkanBuruh",rancang undang undang cipta kerja kluster ketenagakerjaan mari simak poin poin moga manfaat tulis terang video,1
910,@MonitorJadul,"Dalam proses perjalanan sebelum menjadi undang-undang yang sah, RUU Cipta Kerja telah melakukan prosedur dan ketentuan dalam menyusun RUU Cipta Kerja #UUCiptaKerja #MataNajwa",proses jalan undang undang sah rancang undang undang cipta kerja prosedur tentu susun rancang undang undang cipta kerja,1
911,@Yubi666,"Bukti bahwa proses pembahasan RUU Cipta Kerja Transparan dan melibatkan bnyk pihan terkait 
#OmnibusLawTransparan",bukti proses bahas rancang undang undang cipta kerja transparan libat pilih kait,1
912,@Greymindless,"Topiknya RUU cipta kerja
tapi di sosmed beredarnya saling menyudutkan entah aparat kejam atau pendemo yg anarkis.
Ga ada sama sekali yg ngebahas UU nya itu sendiri..
emg ga ada apa yg mau bahas/diskusi yg santai,tenang tenang wae tanpa kekerasan/ribut ",topik rancang undang undang cipta kerja sosial media edar sudut aparat kejam demo anarkis bahas undang undang emang bahas diskusi santai tenang tenang keras ribut,1
913,@DahlanMahmud,"Mereka yang merasa paling tahu tentang RUU Cipta Kerja disakmat oleh Menkoinfo dengan  mempermalukan didepan pemirsa tv, sehingga matanajwapun sengaja memboikot durasi untuk Menkoinfo utk menjelaskan permasalahan yang tidak dikuasai oleh mereka yang (asbun) tentang RUU OmnibuslawTweet Kutipan
Arnis.sk jambak,cinta itu musti sesuai
@ondarnis
 · 15 Okt
sami mawon nggak ngerti persoalan,  katanya berdebat di tingkat awal,  apa orang orang itu dilibatkan?
presiden jokowi saja bilang 3 bulan wajib kelar tuh uu? twitter.com/M_Asmara1701/s…",rancang undang undang cipta kerja skakmat menteri komuninkasi informatika malu depan pirsa televisi mata najwa sengaja boikot durasi menteri komuninkasi informatika masalah asai bunyi rancang undang undang omnibus law tweet kutip arnis sk jambak cinta mesti sesuai oktober erti debat tingkat orang orang libat presiden jokowi bilang wajib kelar undang undang s,1
914,@rouf_ludba,"Membalas 
@AgusYudhoyono
 dan 
@PDemokratPembahasan RUU cipta kerja ini udah berapa kali?? Fraksi Demokrat kemana aja? Kalo g setuju harusnya kawal dr saat pembahasan. Mana pasal yg kurang sesuai dibahas ttuntas sampai betul-betul disetujui utk semua. Udah di ketok palu main walk out...",balas rancang undang undang cipta kerja kali fraksi demokrat mana g tuju kawal bahas pasal sesuai bahas tuntas tuju ketok palu main jalan,0
915,@_andre_smart,"#OmnibusLawTaatProsedural
Asli sesuai prosedural , saat pembahasan RUU Cipta kerja , dewan juga minta masukan dri rakyat sipil dan akademi serta pengusaha kecil",asli sesuai prosedural bahas rancang undang undang cipta kerja dewan masuk rakyat sipil akademi usaha,1
916,@Meylindarichez,Fakta RUU Cipta Kerja!!,fakta rancang undang undang cipta kerja,1
917,@AnniezaKhairun1,"Waktu kerja untuk pekerja dan buruh sangat diperhatikan di dalam Omnibus Law, RUU Cipta kerja memberi ruang optimalisasi waktu kerja dan optimalisasi kapasitas produksi dengan menambah jam lembur, dari 3 jam menjadi 4 jam per hari. #KeberhasilanOtsus #Papua",kerja kerja buruh perhati omnibus law rancang undang undang cipta kerja ruang optimalisasi kerja optimalisasi kapasitas produksi tambah jam lembur jam jam,1
918,@Kemenag_RI,"Sesuai aspirasi masyarakat, sejumlah UU dikeluarkan dari RUU Cipta Kerja, antara lain: UU 20/2003 tentang Sisdiknas dan UU 14/2005 tentang Guru dan Dosen.

Artinya, UU ini tidak ada perubahan. 

Bagaimana Pesantren? Tetap dgn UU 18/2019 tentang Pesantren

#OmnibusLawTransparan",sesuai aspirasi masyarakat undang undang keluar rancang undang undang cipta kerja undang undang sisdiknas undang undang guru dosen undang undang ubah pesantren undang undang pesantren,1
919,@pmibanyumas,"Proses evakuasi korban peserta aksi demonstrasi RUU Cipta Kerja oleh tim PMI Kabupaten Banyumas. (15/10)

#pmibanyumas #pmiselalubantu #banyumas #purwokerto #purwokertohitz  #infopurwokerto #instapurwokerto #banyumas24jam #banyumasinfo #purwokertoonline",proses evakuasi korban serta aksi demonstrasi rancang undang undang cipta kerja tim pmi kabupaten banyumas populer informasi online,1
920,@MonologeLLy_318,"Menaker 
@idafauziyah
 menegaskan bahwa Pembahasan RUU Cipta Kerja Transparan dan Demokratis.

#OmnibusLawTransparan",menteri ketenagakerjaan bahas rancang undang undang cipta kerja transparan demokratis,1
921,@effortlesgenius,Jadi inikah narasi RUU Ciptakerja? #DPRImpositor #OmnibusLaw #RakyatBosanDikhianati  https://instagram.com/tv/CGTyMBxBqah/?igshid=1leesa0wylxy9…,narasi rancang undang undang cipta kerja,0
922,@Edy_sono,"Membalas 
@tempodotco
 dan 
@RismaayunurYg penting paham dan mengerti isi ruu ciptakerja..., Bukan soal lama atau sebentar bro..
Emang baca komik ga pake lama...,
Kalo komik ada karikatur, ga baca jg bisa senyum2 mengerti...",balas paham erti isi rancang undang undang cipta kerja sebentar bro emang baca komik pakai komik karikatur baca erti,1
923,@ikanbawel789,"Membalas 
@ari_ariayamWkwkwk gaadak lah, bisa bisa RUU cipta kerja ditambah nanti peraturan nya kalau rebo wekasan pada gamasuk",balas rancang undang undang cipta kerja tambah atur rabu wekasan masuk,0
924,@_GalihM_,"3 Oktober 2020

DPR dan pemerintah menyelesaikan pembahasan Omnibus Law RUU Cipta Kerja di tingkat I atau tingkat Baleg DPR, untuk selanjutnya disahkan di rapat paripurna.

Referensi:Tok! RUU Cipta Kerja Rampung Dibahas, Tinggal Disetujui Paripurna - Tirto.ID
Hanya Partai Demokrat dan PKS yang menolak RUU Cipta Kerja dilanjutkan pengesahannya dalam rapat paripurna DPR RI. Sedangkan DPD RI dan pemerintah setuju.
tirto.id",oktober dewan wakil rakyat perintah selesai bahas omnibus law rancang undang undang cipta kerja tingkat tingkat baleg dewan wakil rakyat sah rapat paripurna referensi rancang undang undang cipta kerja rampung bahas tinggal tuju paripurna tirto partai demokrat pks tolak rancang undang undang cipta kerja lanjut kesah rapat paripurna dewan wakil rakyat rakyat indonesia dewan wakil daerah rakyat indonesia perintah tuju tirto,1
925,@life_interlude,"Membalas 
@tebaksendiridehtempel draft RUU cipta kerja aja ya Bu",balas draf rancang undang undang cipta kerja ya,1
926,@DiniHrdianti,"Metode penyusunan 3 RUU CIPTA KERJA ini tetap mengacu pd UU No. 12 thn 2011 ya.. yaitu tentang Pembentukan Peraturan Perundang-undangan sebagaimana diperbaharui dg UU No. 15 thn 2019.

#OmnibusLawTaatProsedural",metode susun rancang undang undang cipta kerja acu undang undang ya bentuk atur undang undang baharu undang undang,1
927,@YanHarahap,"Ketua Umum 
@PDemokrat
 ⁦
@AgusYudhoyono
⁩ atau yang lebih dikenal dengan AHY menilai, ketidakjelasan draf final RUU Cipta Kerja telah menimbulkan kebingungan di tengah masyarakat.AHY: Ketidakjelasan Draf RUU Cipta Kerja Timbulkan Kebingungan Masyarakat - www.radartangsel.com
Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono atau yang lebih dikenal dengan AHY menilai, ketidakjelasan draf final RUU Cipta Kerja telah menimbulkan kebingungan di tengah masyarakat.
radartangsel.com",ketua kenal nilai ketidakjelasan draf final rancang undang undang cipta kerja timbul bingung masyarakat ketidakjelasan draf rancang undang undang cipta kerja timbul bingung masyarakat ketua partai demokrat agus harimurti yudhoyono kenal nilai ketidakjelasan draf final rancang undang undang cipta kerja timbul bingung masyarakat,0
