,user_account,tweet,tweet_clean,label
601,@zuumin666,"Membalas 
@antisosialisasi
 @breycoy
 dan 
@kelapabonsai1Memperjuangkan nasib kok ngorbanin warga yg ga tau apa-apa. Otak lu isinya iri dengki, apa-apa salah rezim. 

Gw doa in punya kesibukan gan lu pada, kerjaan atau usaha, biar ga ada waktu buat rusuh2 ga jelas.

Demo nya gw setuju tolak ruu cipta kerja, kalo rusuh nya gw ga setuju",balas nasib korban warga otak isi iri dengki salah rezim doa sibuk gan kerja usaha biar demo tuju tolak rancang undang undang cipta kerja rusuh tuju,0
602,@Firman78037840,"Intinya apakah penanganan unjuk rasa dan atau pengunjuk rasa ""RUU Cipta Kerja"" oleh aparat sudah  sesuai/patuh kepada UU dan peraturan2, sudah /tidak?",inti tangan unjuk unjuk rancang undang undang cipta kerja aparat sesuai patuh undang undang,1
603,@kitasiyapa,"Puan Pastikan Omnibus Law RUU Cipta Kerja Dibahas Transparan dan Hati-hati. 
#OmnibusLawTransparan",puan pasti omnibus law rancang undang undang cipta kerja bahas transparan hati hati,1
604,@ZAEffendy,"Pusat Studi Hukum Tata Negara FH UI: ""Penyusunannya ugal-ugalan. Mulai dari perumusan RUU dengan metode omnibus law, hingga simpang siur naskah UU yang telah disahkan""
> TOLAK Omnibus Law UU Cipta Kerja
#MosiTidakPercaya !!Tweet Kutipan
TEMPO.CO
@tempodotco
 · 15 Okt
""PSHTN FHUI menilai bahwa proses pembentukan undang-undang saat ini bukan lagi kotor, namun sudah sangat jorok,"" kata Mustafa Fakhri, Ketua PSHTN FHUI. #TempoNasional 
https://bit.ly/2SSiS5W",pusat studi hukum tata negara fakultas hukum ui susun ugal ugalan rumus rancang undang undang metode omnibus law simpang siur naskah undang undang sah tolak omnibus law undang undang cipta kerja tweet kutip tempo oktober pusat studi hukum tata negara fakultas hukum universitas indonesia nilai proses bentuk undang undang kotor jorok mustafa fakhri ketua pusat studi hukum tata negara fakultas hukum universitas indonesia,0
605,@tangselraya,"RUU PKS “Kalah Seksi” dari Omnibus Law Cipta KerjaRUU PKS  “Kalah Seksi” dari Omnibus Law Cipta Kerja
Sugawa.id- RUU Penghapusan Kekerasan Seksual (PKS) kalah seksi dengan UU Cipta Kerja. Buktinya meski telah dibahas hampir 6 tahun, RUU ini masih terkatung-katung.
sugawa.id",rancang undang undang pks kalah seksi omnibus law cipta kerja rancang undang undang pks kalah seksi omnibus law cipta kerja sugawa rancang undang undang hapus keras seksual pks kalah seksi undang undang cipta kerja bukti bahas tahi rancang undang undang katung katung sugawa,0
606,@wanglydia90,"2. RUU Cipta Kerja (Google Drive PDF)RUU Cipta Kerja.pdf
drive.google.com",rancang undang undang cipta kerja google draf pdf rancang undang undang cipta kerja pdf draf,1
607,@IDCorner,"Menaker: RUU Cipta Kerja Sediakan Lapangan Kerja Sebanyak-banyaknya - https://idcorner.co.id/menaker-ruu-cipta-kerja-sediakan-lapangan-kerja-sebanyak-banyaknya/…

#INDONESIAMenaker: RUU Cipta Kerja Sediakan Lapangan Kerja Sebanyak-banyaknya
Menaker: RUU Cipta Kerja Sediakan Lapangan Kerja Sebanyak-banyaknya
idcorner.co.id",menteri ketenagakerjaan rancang undang undang cipta kerja sedia lapang kerja banyak,1
608,@Dreyacomm,"Mulai ada titik terang dari RUU Cipta Kerja nih.. semoga hasilnya bisa membantu masyarakat ya bukan untuk menyusahkan. 
#omnibuslawciptalapangankerja 
#ruuciptakerja https://instagram.com/p/CGTh_3fHMQ1/?igshid=6d5db57ntsa6…",titik terang rancang undang undang cipta kerja moga hasil bantu masyarakat ya susah,1
609,@HIMOMObc,"Membalas 
@napadalubiasa hot isu, ruu cipta kerja. tadi debat sama menkominfo ""KALAU MAU DEBAT LEBIH DETAIL AYO KITA DEBAT DI LUAR!"" wakwkak itu kalau bisa gebrak meja udah digebrak tuh #",balas panas isu rancang undang undang cipta kerja debat menteri komuninkasi informatika debat detail ayo debat gebrak meja gebrak,1
610,@bkpm,"#Grafikonomi 

Yuk #Investeam, kita simak poin-poin yang diatur dalam klaster ketenagakerjaan RUU Cipta Kerja berikut ini...

#CiptaKerja
#AmanProduktif
#UntukEkonomiIndonesia",ayo simak poin poin atur kluster ketenagakerjaan rancang undang undang cipta kerja,1
611,@Liz3b3d,"Pembahasaan RUU Cipta Kerja  Transparan dan Demokrasi 

MENAKER 
#OmnibusLawTransparan",bahasa rancang undang undang cipta kerja transparan demokrasi menteri ketenagakerjaan,1
612,@thenameoflight,Mbak mbak calon istri anggota polisi berargumen ttg masa aksi ruu cipta kerja pake data postingan instagram. Hollyshit.,mbak mbak calon istri anggota polisi argumen aksi rancang undang undang cipta kerja pakai data posting instagram omong kosong,0
613,@Jumadi97709906,"Sudah di sahkan,sudah di ketok palu,masih bisa direvisi.ayoo siapa yg nyebarkan hoax
Ruu cipta kerja caca prosedur.Tweet Kutipan
REPUBLIK MERDEKA | RMOL.ID
@rmol_id
 · 13 Okt
Ace Hasan: Banyak Berita Bohong UU Cipta Kerja Yang Harus Diluruskan https://politik.rmol.id/read/2020/10/13/456431/ace-hasan-banyak-berita-bohong-uu-cipta-kerja-yang-harus-diluruskan…",sah ketok palu revisi ayo sebar hoax rancang undang undang cipta kerja caca prosedur tweet kutip republik merdeka rmol oktober ace hasan berita bohong undang undang cipta kerja lurus,0
614,@LinkTodays_news,"Ambulance yang Viral di Medsos Diduga Suplai Batu untuk Pendemo RUU Cipta KerjaAmbulance yang Viral di Medsos Diduga Suplai Batu untuk Pendemo RUU Cipta Kerja - Informasi Berita...
Linktodays.com - Jakarta. Kabid Humas Polda Metro Jaya kombes Yusri Yunus menduga, mobil ambulans yang viral di media sosial
linktodays.com",ambulans viral media sosial duga suplai batu demo rancang undang undang cipta kerja ambulance viral media sosial duga suplai batu demo rancang undang undang cipta kerja informasi berita jakarta kabid humas polda metro jaya kombes yusri yunus duga mobil ambulans viral media sosial,1
615,@AwalsyahRP,"Membalas 
@ramdhan_asaaIphone 12 pro ruu cipta kerja",balas pro rancang undang undang cipta kerja,1
616,@Lady_Medussa,"GAIS MASIH ADA YANG NYIMPEN THREAD PEMBAHASAN RUU CIPTA KERJA KEMAREN GA
. Butuh buat tugas nihhh",teman simpan utas bahas rancang undang undang cipta kerja kemarin butuh tugas,1
617,@Dee_01984,"“Baik pada tingkat pertama & kedua...Fraksi di 
@DPR_RI
 yang menolak RUU Cipta Kerja untuk dijadikan sebagai Undang Undang...adalah Fraksi Demokrat & PKS “ 
@na_nurularifin
 

Ada apa gerangan dengan kedua Fraksi tersebut...???
#OmnibusLawTransparan",tingkat fraksi tolak rancang undang undang cipta kerja jadi undang undang fraksi demokrat pks gerangan fraksi,1
